dataset,layer,kernel,is_trend,n_series,n_points,mean,std,rms,abs_mean,max_abs,energy_sum,energy_mean,energy_ratio
australian_electricity_demand_dataset,seasonal_k005,5,0,5,1155264,-7.917262082561933e-05,59.43203720458662,59.43203720463935,36.58718077567078,1642.669921875,4080585430.569371,3532.1670462936363,0.000197856495788679
australian_electricity_demand_dataset,seasonal_k013,13,0,5,1155264,-0.0005072613669448226,174.9747896008818,174.97478960161706,111.66998782780361,1181.23046875,35369767101.25732,30616.17699613016,0.0017149838655724486
australian_electricity_demand_dataset,seasonal_k025,25,0,5,1155264,9.664716657710718e-05,259.4452593198577,259.4452593198757,180.1809222224637,1406.4228515625,77762948510.45103,67311.84258355755,0.003770514000077311
australian_electricity_demand_dataset,seasonal_k049,49,0,5,1155264,0.00383309180515571,316.87865737813166,316.87865740131497,227.04802853034465,2013.447265625,116002465251.5596,100412.08351645996,0.005624644225208409
australian_electricity_demand_dataset,seasonal_k097,97,0,5,1155264,0.004777915761329601,82.79627650463077,82.7962766424901,53.86081705041344,851.48828125,7919592835.85244,6855.223425859752,0.0003839995297822382
australian_electricity_demand_dataset,seasonal_k125,125,0,5,1155264,0.009470717661678346,65.5986173866432,65.59861807030465,44.36938191598739,486.20947265625,4971307429.282305,4303.1786927337,0.00024104518436923858
australian_electricity_demand_dataset,seasonal_k161,161,0,5,1155264,0.010777045033274051,60.99459068348836,60.99459163557852,43.79493028588866,402.34521484375,4297975110.968709,3720.3402087909853,0.00020839713048835057
australian_electricity_demand_dataset,seasonal_k201,201,0,5,1155264,0.00978025640650711,55.85920082361091,55.85920167981198,40.40923600716972,379.31494140625,3604712972.3221745,3120.25041230591,0.00017478273379223006
australian_electricity_demand_dataset,seasonal_k301,301,0,5,1155264,0.012149258113212515,56.07402071844954,56.07402203460691,39.5625835757567,452.54248046875,3632491913.073951,3144.295947137581,0.00017612965912130001
australian_electricity_demand_dataset,trend,-1,1,5,1155264,3500.2739742620984,2318.88610002344,4198.708210840389,3500.2739742620984,8750.994140625,20366323084713.074,17629150.639778506,0.9875076471757999
bitcoin_dataset_with_missing_values,seasonal_k005,5,0,18,74370,32434950195814.332,7.222435053489313e+17,7.222435060772356e+17,7.09731864370146e+16,2.4754598301795353e+19,3.8794045675600766e+40,5.2163568207073775e+35,0.0033838268503074823
bitcoin_dataset_with_missing_values,seasonal_k013,13,0,18,74370,35130962567094.164,3.73105423666227e+17,3.7310542532016237e+17,3.411080554221926e+16,2.274411930017438e+19,1.0352873555456341e+40,1.3920765840333927e+35,0.0009030337234671245
bitcoin_dataset_with_missing_values,seasonal_k025,25,0,18,74370,-56914400292003.2,3.010750930611369e+17,3.01075098440607e+17,2.538444117493284e+16,1.0855188029962715e+19,6.741359002188946e+39,9.06462149010212e+34,0.0005880178569134438
bitcoin_dataset_with_missing_values,seasonal_k049,49,0,18,74370,-179352628436134.25,3.052946565049565e+17,3.0529470918744186e+17,2.6816811871690084e+16,1.0055825484383519e+19,6.931645397879911e+39,9.32048594578447e+34,0.0006046156673189797
bitcoin_dataset_with_missing_values,seasonal_k097,97,0,18,74370,1470282671410990.0,3.6681177159617926e+17,3.668147182334175e+17,3.2398862692658764e+16,1.061929440729314e+19,1.0006709399816633e+40,1.3455303751266145e+35,0.0008728394102917811
bitcoin_dataset_with_missing_values,seasonal_k125,125,0,18,74370,2459562117920055.5,2.775783148553039e+17,2.7758921146853334e+17,2.5992216616407388e+16,9.2703959501515e+18,5.730637638975214e+39,7.705577032372213e+34,0.0004998572635166829
bitcoin_dataset_with_missing_values,seasonal_k161,161,0,18,74370,2630120049428548.0,2.6945202853829418e+17,2.694648645275968e+17,2.582395379460471e+16,7.618560049325015e+18,5.400103363790336e+39,7.2611313214876105e+34,0.00047102627319744
bitcoin_dataset_with_missing_values,seasonal_k201,201,0,18,74370,2438520086776367.0,2.4562505707884323e+17,2.4563716136854902e+17,2.589147209104561e+16,5.54018400566562e+18,4.48730843091142e+39,6.03376150451986e+34,0.00039140735362074497
bitcoin_dataset_with_missing_values,seasonal_k301,301,0,18,74370,2888009567245124.5,3.171969211551739e+17,3.172100682348877e+17,3.7427022505861176e+16,5.613130005098791e+18,7.483275050963219e+39,1.0062222738958208e+35,0.0006527317943952308
bitcoin_dataset_with_missing_values,trend,-1,1,18,74370,1.5184102051448745e+18,1.2270293556374931e+19,1.2363885858042536e+19,1.5184102051448745e+18,1.3828462744734112e+20,1.1368620138991075e+43,1.5286567351070424e+38,0.991632643806971
car_parts_dataset_with_missing_values,seasonal_k005,5,0,2674,130252,5.527502585642791e-05,1.0098550124246648,1.0098550139374207,0.483558030044146,41.599998474121094,132831.92079428324,1.0198071491745482,0.5906690304252767
car_parts_dataset_with_missing_values,seasonal_k013,13,0,2674,130252,-0.000620453399779226,0.39652597887615776,0.3965264642947762,0.22563988699527585,6.276922702789307,20479.94357089044,0.15723323688611643,0.09106898657978944
car_parts_dataset_with_missing_values,seasonal_k025,25,0,2674,130252,-0.0003142300468082997,0.18907998427184208,0.18908024537947468,0.1139146068997969,2.0584611892700195,4656.683432535683,0.03575133919276236,0.020707061010983126
car_parts_dataset_with_missing_values,seasonal_k049,49,0,2674,130252,-0.001780662675427005,0.15297391091137152,0.15298427428688183,0.09797073612808925,1.3445148468017578,3048.442318702035,0.023404188179083893,0.013555630739419434
car_parts_dataset_with_missing_values,seasonal_k097,97,0,2674,130252,-0.0019432393933467883,0.15016574707765729,0.1501783199224535,0.09438487054898018,1.1898245811462402,2937.6420997142354,0.022553527774730794,0.013062930961165165
car_parts_dataset_with_missing_values,seasonal_k125,125,0,2674,130252,-2.5201460309227117e-06,0.0753011184726105,0.07530111851478209,0.04299894353514181,0.637953519821167,738.562503574337,0.005670258449577258,0.003284195510281995
car_parts_dataset_with_missing_values,seasonal_k161,161,0,2674,130252,-1.4447154666517678e-08,0.03458298096219483,0.03458298096219785,0.019734855282737006,0.2931506633758545,155.77912199832843,0.0011959825722317387,0.0006927092704904529
car_parts_dataset_with_missing_values,seasonal_k201,201,0,2674,130252,6.1155600171891195e-09,0.011702814328438423,0.01170281432844002,0.006677266782845183,0.09920275211334229,17.83877509430023,0.00013695586320594104,7.9324396770888e-05
car_parts_dataset_with_missing_values,seasonal_k301,301,0,2674,130252,2.7111402762498863e-09,0.0032314052142927703,0.0032314052142939074,0.0018436929050399287,0.027393102645874023,1.3600887345396204,1.0441979658965855e-05,6.047961132527972e-06
car_parts_dataset_with_missing_values,trend,-1,1,2674,130252,0.5128053285258344,0.4447431969760658,0.6787973307409072,0.5128053285258344,3.1027674674987793,60015.66909441517,0.4607658162209806,0.26687408314469024
cif_2016_dataset,seasonal_k005,5,0,72,7108,920.1166991169073,2208287.168713824,2208287.3604041794,155458.6851764915,104663296.0,3.4662397033987052e+16,4876533066120.857,0.00022915349387490604
cif_2016_dataset,seasonal_k013,13,0,72,7108,9280.95426526997,2402969.248745929,2402987.1715285224,191951.87288415382,68586496.0,4.104406093913985e+16,5774347346530.648,0.0002713427452174272
cif_2016_dataset,seasonal_k025,25,0,72,7108,26723.134363508318,2604630.862727925,2604767.9468591874,212241.49742054194,56636928.0,4.822647253304957e+16,6784816056985.026,0.00031882574847245997
cif_2016_dataset,seasonal_k049,49,0,72,7108,120214.88559733257,6340684.393732774,6341823.885890047,587396.5301764585,118050816.0,2.8587473425908042e+17,40218730199645.53,0.0018899210606178139
